player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,3,False,J03WPY_Away_143
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_147
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_147
DFL-OBJ-0028BZ,DFL-CLU-000005,Away,Forward,1,True,J03WPY_Away_147
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,1,False,J03WPY_Away_147
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_147
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_147
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,4,False,J03WPY_Away_147
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_15
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,True,J03WPY_Away_15
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,1,True,J03WPY_Away_15
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,True,J03WPY_Away_15
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,2,True,J03WPY_Away_15
DFL-OBJ-0028BZ,DFL-CLU-000005,Away,Forward,1,False,J03WPY_Away_150
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,1,False,J03WPY_Away_150
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_150
DFL-OBJ-002G68,DFL-CLU-000005,Away,Defender,1,True,J03WPY_Away_167
DFL-OBJ-00008F,DFL-CLU-000005,Away,Defender,0,True,J03WPY_Away_17
DFL-OBJ-J01H9X,DFL-CLU-00000P,Home,Midfielder,0,False,J03WPY_Away_17
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_17
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,2,False,J03WPY_Away_17
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Away_17
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,2,False,J03WPY_Away_17
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_17
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,4,False,J03WPY_Away_17
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,6,False,J03WPY_Away_17
DFL-OBJ-002G68,DFL-CLU-000005,Away,Defender,7,False,J03WPY_Away_17
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,8,False,J03WPY_Away_17
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WPY_Away_170
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,1,True,J03WPY_Away_175
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_178
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_180
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,1,False,J03WPY_Away_180
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_180
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_180
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,1,False,J03WPY_Away_181
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_19
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_19
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_19
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,1,False,J03WPY_Away_199
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,1,True,J03WPY_Away_204
DFL-OBJ-00008F,DFL-CLU-000005,Away,Defender,0,True,J03WPY_Away_205
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,2,True,J03WPY_Away_21
DFL-OBJ-0001LJ,DFL-CLU-000005,Away,Defender,2,False,J03WPY_Away_213
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,2,False,J03WPY_Away_215
DFL-OBJ-0000EJ,DFL-CLU-000005,Away,Unknown,1,True,J03WPY_Away_220
DFL-OBJ-0026IA,DFL-CLU-000005,Away,Midfielder,1,False,J03WPY_Away_220
DFL-OBJ-00286U,DFL-CLU-000005,Away,Unknown,1,False,J03WPY_Away_220
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_220
DFL-OBJ-J01NQ8,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_220
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,3,False,J03WPY_Away_220
DFL-OBJ-0028T3,DFL-CLU-000005,Away,Midfielder,1,False,J03WPY_Away_222
DFL-OBJ-0000EJ,DFL-CLU-000005,Away,Unknown,1,True,J03WPY_Away_224
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_23
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_23
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,1,False,J03WPY_Away_23
DFL-OBJ-J01H9X,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_23
DFL-OBJ-00008K,DFL-CLU-00000P,Home,Forward,1,False,J03WPY_Away_233
DFL-OBJ-00008F,DFL-CLU-000005,Away,Defender,0,False,J03WPY_Away_235
DFL-OBJ-00008K,DFL-CLU-00000P,Home,Forward,0,False,J03WPY_Away_235
DFL-OBJ-0001HW,DFL-CLU-000005,Away,Goalkeeper,0,False,J03WPY_Away_235
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,2,False,J03WPY_Away_235
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,False,J03WPY_Away_237
DFL-OBJ-0001LJ,DFL-CLU-000005,Away,Defender,1,False,J03WPY_Away_238
DFL-OBJ-J01CP5,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_238
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_240
DFL-OBJ-00008F,DFL-CLU-000005,Away,Defender,0,False,J03WPY_Away_241
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,0,False,J03WPY_Away_241
DFL-OBJ-0001HW,DFL-CLU-000005,Away,Goalkeeper,2,False,J03WPY_Away_241
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,2,False,J03WPY_Away_241
DFL-OBJ-00008F,DFL-CLU-000005,Away,Defender,0,True,J03WPY_Away_243
DFL-OBJ-00008K,DFL-CLU-00000P,Home,Forward,0,False,J03WPY_Away_243
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,0,False,J03WPY_Away_243
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_243
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,True,J03WPY_Away_243
DFL-OBJ-002G68,DFL-CLU-000005,Away,Defender,4,False,J03WPY_Away_243
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WPY_Away_244
